side,signal,entry_time,entry_index,entry_price,exit_time,exit_index,exit_price,exit_reason,pnl,position_notional,balance_after
short,hidden_bear,2025-08-08 16:00:00,5860,116217.05,2025-08-08 16:41:00,5901,116142.0,bull_div,0.06410215836112075,99.26400724,99.3281094
long,hidden_bull,2025-08-08 16:55:00,5915,116200.0,2025-08-08 17:03:00,5923,116336.3,tp_rsi,0.11650964983838459,99.3281094,99.44461905
long,hidden_bull,2025-08-08 17:50:00,5970,116551.41,2025-08-08 17:56:00,5976,116648.5,tp_rsi,0.08283965044750768,99.44461905,99.5274587
short,regular_bear,2025-08-08 18:07:00,5987,116853.37,2025-08-08 18:11:00,5991,116877.0,bull_div,-0.02012636733610219,99.5274587,99.50733233
long,regular_bull,2025-08-08 18:47:00,6027,116429.68,2025-08-08 18:51:00,6031,116468.16,bear_div,0.0328871654380519,99.50733233,99.5402195
short,regular_bear,2025-08-08 18:57:00,6037,116474.53,2025-08-08 19:23:00,6063,116605.14,bull_div,-0.11162052397974956,99.5402195,99.42859898
short,hidden_bear,2025-08-08 19:42:00,6082,116486.21,2025-08-08 19:47:00,6087,116440.47,bull_div,0.03904208161073933,99.42859898,99.46764106
long,regular_bull,2025-08-08 20:06:00,6106,116414.69,2025-08-08 20:30:00,6130,116539.6,tp_rsi,0.10672624773389808,99.46764106,99.57436731
long,hidden_bull,2025-08-08 20:50:00,6150,116819.51,2025-08-08 20:54:00,6154,116823.99,tp_rsi,0.0038186529420457535,99.57436731,99.57818596
short,regular_bear,2025-08-08 20:56:00,6156,116839.99,2025-08-08 21:01:00,6161,116849.97,bull_div,-0.008505566423622548,99.57818596,99.56968039
short,hidden_bear,2025-08-08 21:23:00,6183,116800.0,2025-08-08 21:25:00,6185,116800.0,bull_div,0.0,99.56968039,99.56968039
long,regular_bull,2025-08-08 22:03:00,6223,116903.79,2025-08-08 22:17:00,6237,116907.58,bear_div,0.00322803126125262,99.56968039,99.57290842
short,hidden_bear,2025-08-08 22:41:00,6261,116896.17,2025-08-08 22:58:00,6278,116888.91,bull_div,0.0061841146303482685,99.57290842,99.57909253
